junction_id	chrom	donor	acceptor	strand	tumor_cells	tumor_reads	normal_cells	normal_reads	tumor_clusters
chr22:29642285-29654656:+	chr22	29642285	29654656	+	3	18	0	0	Tumor
chr22:29655676-29658188:+	chr22	29655676	29658188	+	2	12	0	0	Tumor
chr22:29661339-29664989:+	chr22	29661339	29664989	+	3	21	0	0	Tumor
chr22:29681601-29683019:+	chr22	29681601	29683019	+	3	14	0	0	Tumor
chr22:29789184-29790468:-	chr22	29789184	29790468	-	3	15	0	0	Tumor
chr22:29792535-29793359:-	chr22	29792535	29793359	-	3	17	0	0	Tumor
chr22:29793490-29793576:-	chr22	29793490	29793576	-	4	30	0	0	Tumor
chr22:29793676-29800990:-	chr22	29793676	29800990	-	2	20	0	0	Tumor
chr22:29804830-29806215:-	chr22	29804830	29806215	-	2	8	0	0	Tumor
chr22:29806290-29806484:-	chr22	29806290	29806484	-	3	22	0	0	Tumor
chr22:29806553-29806796:-	chr22	29806553	29806796	-	4	18	0	0	Tumor
chr22:29806904-29808110:-	chr22	29806904	29808110	-	2	11	0	0	Tumor
chr22:29825257-29825621:-	chr22	29825257	29825621	-	2	6	0	0	Tumor
chr22:30294861-30294940:-	chr22	30294861	30294940	-	2	35	0	0	Tumor
chr22:30295843-30299443:-	chr22	30295843	30299443	-	3	15	0	0	Tumor
chr22:30399718-30406341:+	chr22	30399718	30406341	+	3	26	0	0	Tumor
chr22:30407154-30407414:+	chr22	30407154	30407414	+	3	46	0	0	Tumor
chr22:30426844-30427170:+	chr22	30426844	30427170	+	2	6	0	0	Tumor
chr22:30427403-30428461:+	chr22	30427403	30428461	+	2	16	0	0	Tumor
chr22:30613042-30614348:+	chr22	30613042	30614348	+	2	23	0	0	Tumor
chr22:31403204-31411011:+	chr22	31403204	31411011	+	2	13	0	0	Tumor
chr22:31411081-31420255:+	chr22	31411081	31420255	+	2	15	0	0	Tumor
chr22:31420425-31423279:+	chr22	31420425	31423279	+	2	11	0	0	Tumor
chr22:31423410-31426614:+	chr22	31423410	31426614	+	3	17	0	0	Tumor
chr22:31426782-31427059:+	chr22	31426782	31427059	+	3	14	0	0	Tumor
chr22:31621142-31621333:-	chr22	31621142	31621333	-	3	18	0	0	Tumor
chr22:35263226-35263795:+	chr22	35263226	35263795	+	2	10	0	0	Tumor
chr22:35323630-35323767:+	chr22	35323630	35323767	+	2	6	0	0	Tumor
chr22:35333014-35333403:+	chr22	35333014	35333403	+	3	27	0	0	Tumor
chr22:35338788-35345724:+	chr22	35338788	35345724	+	5	32	0	0	Tumor
chr22:35416404-35416637:+	chr22	35416404	35416637	+	2	6	0	0	Tumor
chr22:35416814-35417743:+	chr22	35416814	35417743	+	2	10	0	0	Tumor
chr22:35607443-35610883:-	chr22	35607443	35610883	-	4	35	0	0	Tumor
chr22:35611106-35617162:-	chr22	35611106	35617162	-	3	56	0	0	Tumor
chr22:35617265-35622477:-	chr22	35617265	35622477	-	2	8	0	0	Tumor
chr22:35648623-35656378:+	chr22	35648623	35656378	+	2	5	0	0	Tumor
chr22:36195437-36199329:-	chr22	36195437	36199329	-	2	11	0	0	Tumor
chr22:36523980-36524595:-	chr22	36523980	36524595	-	5	37	0	0	Tumor
chr22:37011325-37018137:-	chr22	37011325	37018137	-	2	12	0	0	Tumor
chr22:37024810-37029215:+	chr22	37024810	37029215	+	3	29	0	0	Tumor
chr22:37688360-37688849:+	chr22	37688360	37688849	+	3	24	0	0	Tumor
chr22:37688992-37690696:+	chr22	37688992	37690696	+	2	51	0	0	Tumor
chr22:37690794-37691173:+	chr22	37690794	37691173	+	2	73	0	0	Tumor
chr22:37755190-37755549:+	chr22	37755190	37755549	+	2	12	0	0	Tumor
chr22:37755659-37757612:+	chr22	37755659	37757612	+	2	12	0	0	Tumor
chr22:37815834-37816199:+	chr22	37815834	37816199	+	2	49	0	0	Tumor
chr22:40316012-40321089:+	chr22	40316012	40321089	+	2	19	0	0	Tumor
chr22:40350035-40353072:+	chr22	40350035	40353072	+	3	99	0	0	Tumor
chr22:40353117-40354247:+	chr22	40353117	40354247	+	2	54	0	0	Tumor
chr22:40354327-40358863:+	chr22	40354327	40358863	+	3	76	0	0	Tumor
chr22:40359035-40359259:+	chr22	40359035	40359259	+	2	54	0	0	Tumor
chr22:40360492-40361272:+	chr22	40360492	40361272	+	3	40	0	0	Tumor
chr22:40361342-40361487:+	chr22	40361342	40361487	+	3	43	0	0	Tumor
chr22:40361635-40362980:+	chr22	40361635	40362980	+	3	55	0	0	Tumor
chr22:40363071-40364275:+	chr22	40363071	40364275	+	3	57	0	0	Tumor
chr22:40365056-40366435:+	chr22	40365056	40366435	+	2	57	0	0	Tumor
chr22:40402205-40404246:+	chr22	40402205	40404246	+	3	9	0	0	Tumor
chr22:40405284-40405648:+	chr22	40405284	40405648	+	4	19	0	0	Tumor
chr22:40408842-40408932:+	chr22	40408842	40408932	+	2	14	0	0	Tumor
chr22:40409372-40409464:+	chr22	40409372	40409464	+	5	10	0	0	Tumor
chr22:40770981-40773936:-	chr22	40770981	40773936	-	3	53	0	0	Tumor
chr22:40774019-40777039:-	chr22	40774019	40777039	-	4	48	0	0	Tumor
chr22:40777135-40777227:-	chr22	40777135	40777227	-	4	35	0	0	Tumor
chr22:40779125-40792524:-	chr22	40779125	40792524	-	4	64	0	0	Tumor
chr22:40792676-40794513:-	chr22	40792676	40794513	-	2	25	0	0	Tumor
chr22:40799083-40819194:-	chr22	40799083	40819194	-	2	7	0	0	Tumor
chr22:41256105-41256190:-	chr22	41256105	41256190	-	2	5	0	0	Tumor
chr22:41256290-41256710:-	chr22	41256290	41256710	-	2	9	0	0	Tumor
chr22:41256824-41257947:-	chr22	41256824	41257947	-	3	17	0	0	Tumor
chr22:41258106-41261445:-	chr22	41258106	41261445	-	3	14	0	0	Tumor
chr22:41274727-41280932:-	chr22	41274727	41280932	-	2	7	0	0	Tumor
chr22:41518572-41520170:+	chr22	41518572	41520170	+	2	10	0	0	Tumor
chr22:41578881-41583958:-	chr22	41578881	41583958	-	2	9	0	0	Tumor
chr22:42075652-42077279:+	chr22	42075652	42077279	+	3	8	0	0	Tumor
chr22:42515268-42577843:-	chr22	42515268	42577843	-	3	8	0	0	Tumor
chr22:42627688-42628151:-	chr22	42627688	42628151	-	2	14	0	0	Tumor
chr22:42630988-42631377:-	chr22	42630988	42631377	-	4	32	0	0	Tumor
chr22:42631450-42636714:-	chr22	42631450	42636714	-	3	7	0	0	Tumor
chr22:43110803-43124015:+	chr22	43110803	43124015	+	3	9	0	0	Tumor
chr22:43124183-43127696:+	chr22	43124183	43127696	+	3	55	0	0	Tumor
chr22:43127795-43128495:+	chr22	43127795	43128495	+	4	75	0	0	Tumor
chr22:43128625-43129212:+	chr22	43128625	43129212	+	2	7	0	0	Tumor
chr22:46891394-46894783:+	chr22	46891394	46894783	+	2	8	0	0	Tumor
chr22:46912188-46974289:+	chr22	46912188	46974289	+	2	14	0	0	Tumor
chr22:47037198-47111507:+	chr22	47037198	47111507	+	2	16	0	0	Tumor
chr22:49918898-49919229:+	chr22	49918898	49919229	+	3	32	0	0	Tumor
chr22:50194506-50194899:+	chr22	50194506	50194899	+	2	9	0	0	Tumor
chr22:50195040-50197240:+	chr22	50195040	50197240	+	2	8	0	0	Tumor
chr22:50197588-50197822:+	chr22	50197588	50197822	+	2	6	0	0	Tumor
chr22:50198186-50198344:+	chr22	50198186	50198344	+	2	10	0	0	Tumor
chr22:50210911-50215716:+	chr22	50210911	50215716	+	2	7	0	0	Tumor
chr22:50282881-50283049:-	chr22	50282881	50283049	-	2	7	0	0	Tumor
chr22:50418979-50419348:+	chr22	50418979	50419348	+	2	16	0	0	Tumor
chr22:50422380-50423461:+	chr22	50422380	50423461	+	3	10	0	0	Tumor
chr22:50431382-50432264:+	chr22	50431382	50432264	+	2	10	0	0	Tumor
chr22:50432329-50434965:+	chr22	50432329	50434965	+	3	5	0	0	Tumor
chr22:50437068-50437505:+	chr22	50437068	50437505	+	2	12	0	0	Tumor
chr22:50530852-50530936:-	chr22	50530852	50530936	-	4	19	0	0	Tumor
chr22:50531773-50531968:-	chr22	50531773	50531968	-	2	10	0	0	Tumor
chr22:50569668-50570292:-	chr22	50569668	50570292	-	2	9	0	0	Tumor
chr22:50570406-50570890:-	chr22	50570406	50570890	-	2	9	0	0	Tumor
chr22:50580660-50581419:-	chr22	50580660	50581419	-	2	14	0	0	Tumor
chr22:50581553-50581748:-	chr22	50581553	50581748	-	2	12	0	0	Tumor
chr22:50581862-50582248:-	chr22	50581862	50582248	-	2	10	0	0	Tumor
chr22:50625464-50625578:-	chr22	50625464	50625578	-	4	57	0	0	Tumor
chr22:50626063-50626153:-	chr22	50626063	50626153	-	3	30	0	0	Tumor
chr22:50775851-50776669:-	chr22	50775851	50776669	-	2	14	0	0	Tumor
